id,type,plan,rarity,limit_break,sp_r,start_b,spp,pb,lb,sp_lb,sp_lb20,n_lb,rest_b,gift_b,date_b,shop_b,class_b,s_guidance,ub,a_ub,m_ub,cb,ssr_cb,m_cb,a_cb,cond_cb,conc_cb,imp_cb,mot_cb,pres_cb,str_cb,fpp_cb,energy_cb,delete,a_delete,m_delete,replace,drink_acq,drink_buy,item_acq,cust,eb,event,char_name,ability1,ability2,ability3,ability4,event1,event2,event3,sig_desc
10003,1,0,1,0,0,22,20,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Curling hair,Gain +22 Dance at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Dance Lesson, gain +1 Dance","When Rest is selected, gain +6 Dance",Gain +10 Dance,Gain +10 P points,No Event,No Signature
10003,1,0,1,1,0,24,20,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Curling hair,Gain +24 Dance at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Dance Lesson, gain +1 Dance","When Rest is selected, gain +6 Dance",Gain +15 Dance,Gain +10 P points,No Event,No Signature
10003,1,0,1,2,0,26,20,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Curling hair,Gain +26 Dance at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Dance Lesson, gain +1 Dance","When Rest is selected, gain +11 Dance",Gain +15 Dance,Gain +10 P points,No Event,No Signature
10003,1,0,1,3,0,28,20,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Curling hair,Gain +28 Dance at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Dance Lesson, gain +1 Dance","When Rest is selected, gain +11 Dance",Gain +17 Dance,Gain +10 P points,No Event,No Signature
10003,1,0,1,4,0,30,20,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Curling hair,Gain +30 Dance at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Dance Lesson, gain +3 Dance","When Rest is selected, gain +11 Dance",Gain +20 Dance,Gain +10 P points,No Event,No Signature
10004,0,0,1,0,0,22,20,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,A Princes Breath,Gain +22 Vocal at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Normal Vocal Lesson, gain +5 Vocal","At the end of an Outing, gain +4 Vocal",Gain +10 Vocal,Gain +10 P points,No Event,No Signature
10004,0,0,1,1,0,24,20,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,A Princes Breath,Gain +24 Vocal at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Normal Vocal Lesson, gain +5 Vocal","At the end of an Outing, gain +4 Vocal",Gain +15 Vocal,Gain +10 P points,No Event,No Signature
10004,0,0,1,2,0,26,20,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,A Princes Breath,Gain +26 Vocal at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Normal Vocal Lesson, gain +5 Vocal","At the end of an Outing, gain +7 Vocal",Gain +15 Vocal,Gain +10 P points,No Event,No Signature
10004,0,0,1,3,0,28,20,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,A Princes Breath,Gain +28 Vocal at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Normal Vocal Lesson, gain +5 Vocal","At the end of an Outing, gain +7 Vocal",Gain +17 Vocal,Gain +10 P points,No Event,No Signature
10004,0,0,1,4,0,30,20,0,0,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,A Princes Breath,Gain +30 Vocal at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Normal Vocal Lesson, gain +9 Vocal","At the end of an Outing, gain +7 Vocal",Gain +20 Vocal,Gain +10 P points,No Event,No Signature
10005,2,0,1,0,0,22,20,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Dedicated After School Lessons,Gain +22 Visual at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Normal Visual Lesson, gain +5 Visual","When Activity Provision or Present is selected, gain +4 Visual",Gain +10 Visual,Gain +10 P points,No Event,No Signature
10005,2,0,1,1,0,24,20,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Dedicated After School Lessons,Gain +24 Visual at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Normal Visual Lesson, gain +5 Visual","When Activity Provision or Present is selected, gain +4 Visual",Gain +15 Visual,Gain +10 P points,No Event,No Signature
10005,2,0,1,2,0,26,20,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Dedicated After School Lessons,Gain +26 Visual at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Normal Visual Lesson, gain +5 Visual","When Activity Provision or Present is selected, gain +8 Visual",Gain +15 Visual,Gain +10 P points,No Event,No Signature
10005,2,0,1,3,0,28,20,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Dedicated After School Lessons,Gain +28 Visual at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Normal Visual Lesson, gain +5 Visual","When Activity Provision or Present is selected, gain +8 Visual",Gain +17 Visual,Gain +10 P points,No Event,No Signature
10005,2,0,1,4,0,30,20,0,0,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Dedicated After School Lessons,Gain +30 Visual at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Normal Visual Lesson, gain +9 Visual","When Activity Provision or Present is selected, gain +8 Visual",Gain +20 Visual,Gain +10 P points,No Event,No Signature
10006,1,0,1,0,0,22,20,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Aim for your dreams,Gain +22 Dance at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Normal Dance Lesson, gain +5 Dance","When Activity Provision or Present is selected, gain +4 Dance",Gain +10 Dance,Gain +10 P points,No Event,No Signature
10006,1,0,1,1,0,24,20,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Aim for your dreams,Gain +24 Dance at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Normal Dance Lesson, gain +5 Dance","When Activity Provision or Present is selected, gain +4 Dance",Gain +15 Dance,Gain +10 P points,No Event,No Signature
10006,1,0,1,2,0,26,20,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Aim for your dreams,Gain +26 Dance at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Normal Dance Lesson, gain +5 Dance","When Activity Provision or Present is selected, gain +8 Dance",Gain +15 Dance,Gain +10 P points,No Event,No Signature
10006,1,0,1,3,0,28,20,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Aim for your dreams,Gain +28 Dance at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Normal Dance Lesson, gain +5 Dance","When Activity Provision or Present is selected, gain +8 Dance",Gain +17 Dance,Gain +10 P points,No Event,No Signature
10006,1,0,1,4,0,30,20,0,0,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Aim for your dreams,Gain +30 Dance at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Normal Dance Lesson, gain +9 Dance","When Activity Provision or Present is selected, gain +8 Dance",Gain +20 Dance,Gain +10 P points,No Event,No Signature
10007,1,0,1,0,0,0,20,0.028,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Switch ON !,Gain +2.8% in Dance Lessons,Gain +20 P points at the start of the produce,"At the end of a Dance Lesson, gain +1 Dance","At the end of an Outing, gain +4 Dance",Gain +10 Dance,Gain +10 P points,No Event,No Signature
10007,1,0,1,1,0,0,20,0.032,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Switch ON !,Gain +3.2% in Dance Lessons,Gain +20 P points at the start of the produce,"At the end of a Dance Lesson, gain +1 Dance","At the end of an Outing, gain +4 Dance",Gain +15 Dance,Gain +10 P points,No Event,No Signature
10007,1,0,1,2,0,0,20,0.036,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Switch ON !,Gain +3.6% in Dance Lessons,Gain +20 P points at the start of the produce,"At the end of a Dance Lesson, gain +1 Dance","At the end of an Outing, gain +7 Dance",Gain +15 Dance,Gain +10 P points,No Event,No Signature
10007,1,0,1,3,0,0,20,0.04,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Switch ON !,Gain +4.0% in Dance Lessons,Gain +20 P points at the start of the produce,"At the end of a Dance Lesson, gain +1 Dance","At the end of an Outing, gain +7 Dance",Gain +17 Dance,Gain +10 P points,No Event,No Signature
10007,1,0,1,4,0,0,20,0.043,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Switch ON !,Gain +4.3% in Dance Lessons,Gain +20 P points at the start of the produce,"At the end of a Dance Lesson, gain +3 Dance","At the end of an Outing, gain +7 Dance",Gain +20 Dance,Gain +10 P points,No Event,No Signature
10008,0,0,1,0,0,0,20,0.028,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Image Training,Gain +2.8% in Vocal Lessons,Gain +20 P points at the start of the produce,"At the end of a Vocal Lesson, gain +1 Vocal","At the end of a Class or Business, gain +2 Vocal",Gain +10 Vocal,Gain +10 P points,No Event,No Signature
10008,0,0,1,1,0,0,20,0.032,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Image Training,Gain +3.2% in Vocal Lessons,Gain +20 P points at the start of the produce,"At the end of a Vocal Lesson, gain +1 Vocal","At the end of a Class or Business, gain +2 Vocal",Gain +15 Vocal,Gain +10 P points,No Event,No Signature
10008,0,0,1,2,0,0,20,0.036,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Image Training,Gain +3.6% in Vocal Lessons,Gain +20 P points at the start of the produce,"At the end of a Vocal Lesson, gain +1 Vocal","At the end of a Class or Business, gain +3 Vocal",Gain +15 Vocal,Gain +10 P points,No Event,No Signature
10008,0,0,1,3,0,0,20,0.04,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Image Training,Gain +4.0% in Vocal Lessons,Gain +20 P points at the start of the produce,"At the end of a Vocal Lesson, gain +1 Vocal","At the end of a Class or Business, gain +3 Vocal",Gain +17 Vocal,Gain +10 P points,No Event,No Signature
10008,0,0,1,4,0,0,20,0.043,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Image Training,Gain +4.3% in Vocal Lessons,Gain +20 P points at the start of the produce,"At the end of a Vocal Lesson, gain +3 Vocal","At the end of a Class or Business, gain +3 Vocal",Gain +20 Vocal,Gain +10 P points,No Event,No Signature
10009,2,0,1,0,0,0,20,0.028,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Perfect Planning,Gain +2.8% in Visual Lessons,Gain +20 P points at the start of the produce,"At the end of a Visual Lesson, gain +1 Visual","At the end of a Class or Business, gain +2 Visual",Gain +10 Visual,Gain +10 P points,No Event,No Signature
10009,2,0,1,1,0,0,20,0.032,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Perfect Planning,Gain +3.2% in Visual Lessons,Gain +20 P points at the start of the produce,"At the end of a Visual Lesson, gain +1 Visual","At the end of a Class or Business, gain +2 Visual",Gain +15 Visual,Gain +10 P points,No Event,No Signature
10009,2,0,1,2,0,0,20,0.036,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Perfect Planning,Gain +3.6% in Visual Lessons,Gain +20 P points at the start of the produce,"At the end of a Visual Lesson, gain +1 Visual","At the end of a Class or Business, gain +3 Visual",Gain +15 Visual,Gain +10 P points,No Event,No Signature
10009,2,0,1,3,0,0,20,0.04,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Perfect Planning,Gain +4.0% in Visual Lessons,Gain +20 P points at the start of the produce,"At the end of a Visual Lesson, gain +1 Visual","At the end of a Class or Business, gain +3 Visual",Gain +17 Visual,Gain +10 P points,No Event,No Signature
10009,2,0,1,4,0,0,20,0.043,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Perfect Planning,Gain +4.3% in Visual Lessons,Gain +20 P points at the start of the produce,"At the end of a Visual Lesson, gain +3 Visual","At the end of a Class or Business, gain +3 Visual",Gain +20 Visual,Gain +10 P points,No Event,No Signature
10010,0,0,1,0,0,0,20,0.028,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,At my own pace,Gain +2.8% in Vocal Lessons,Gain +20 P points at the start of the produce,"At the end of a Normal Vocal Lesson, gain +5 Vocal","When Activity Provision or Present is selected, gain +4 Vocal",Gain +10 Vocal,Gain +10 P points,No Event,No Signature
10010,0,0,1,1,0,0,20,0.032,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,At my own pace,Gain +3.2% in Vocal Lessons,Gain +20 P points at the start of the produce,"At the end of a Normal Vocal Lesson, gain +5 Vocal","When Activity Provision or Present is selected, gain +4 Vocal",Gain +15 Vocal,Gain +10 P points,No Event,No Signature
10010,0,0,1,2,0,0,20,0.036,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,At my own pace,Gain +3.6% in Vocal Lessons,Gain +20 P points at the start of the produce,"At the end of a Normal Vocal Lesson, gain +5 Vocal","When Activity Provision or Present is selected, gain +8 Vocal",Gain +15 Vocal,Gain +10 P points,No Event,No Signature
10010,0,0,1,3,0,0,20,0.04,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,At my own pace,Gain +4.0% in Vocal Lessons,Gain +20 P points at the start of the produce,"At the end of a Normal Vocal Lesson, gain +5 Vocal","When Activity Provision or Present is selected, gain +8 Vocal",Gain +17 Vocal,Gain +10 P points,No Event,No Signature
10010,0,0,1,4,0,0,20,0.043,0,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,At my own pace,Gain +4.3% in Vocal Lessons,Gain +20 P points at the start of the produce,"At the end of a Normal Vocal Lesson, gain +9 Vocal","When Activity Provision or Present is selected, gain +8 Vocal",Gain +20 Vocal,Gain +10 P points,No Event,No Signature
10011,1,0,1,0,0,0,20,0.028,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Schedule directly from my sister,Gain +2.8% in Dance Lessons,Gain +20 P points at the start of the produce,"At the end of a Normal Dance Lesson, gain +5 Dance","At the end of a Class or Business, gain +2 Dance",Gain +10 Dance,Gain +10 P points,No Event,No Signature
10011,1,0,1,1,0,0,20,0.032,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Schedule directly from my sister,Gain +3.2% in Dance Lessons,Gain +20 P points at the start of the produce,"At the end of a Normal Dance Lesson, gain +5 Dance","At the end of a Class or Business, gain +2 Dance",Gain +15 Dance,Gain +10 P points,No Event,No Signature
10011,1,0,1,2,0,0,20,0.036,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Schedule directly from my sister,Gain +3.6% in Dance Lessons,Gain +20 P points at the start of the produce,"At the end of a Normal Dance Lesson, gain +5 Dance","At the end of a Class or Business, gain +3 Dance",Gain +15 Dance,Gain +10 P points,No Event,No Signature
10011,1,0,1,3,0,0,20,0.04,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Schedule directly from my sister,Gain +4.0% in Dance Lessons,Gain +20 P points at the start of the produce,"At the end of a Normal Dance Lesson, gain +5 Dance","At the end of a Class or Business, gain +3 Dance",Gain +17 Dance,Gain +10 P points,No Event,No Signature
10011,1,0,1,4,0,0,20,0.043,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Schedule directly from my sister,Gain +4.3% in Dance Lessons,Gain +20 P points at the start of the produce,"At the end of a Normal Dance Lesson, gain +9 Dance","At the end of a Class or Business, gain +3 Dance",Gain +20 Dance,Gain +10 P points,No Event,No Signature
10012,2,0,1,0,0,0,20,0.028,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,A reliable older sister,Gain +2.8% in Visual Lessons,Gain +20 P points at the start of the produce,"At the end of a Normal Visual Lesson, gain +5 Visual","At the end of an Outing, gain +4 Visual",Gain +10 Visual,Gain +10 P points,No Event,No Signature
10012,2,0,1,1,0,0,20,0.032,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,A reliable older sister,Gain +3.2% in Visual Lessons,Gain +20 P points at the start of the produce,"At the end of a Normal Visual Lesson, gain +5 Visual","At the end of an Outing, gain +4 Visual",Gain +15 Visual,Gain +10 P points,No Event,No Signature
10012,2,0,1,2,0,0,20,0.036,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,A reliable older sister,Gain +3.6% in Visual Lessons,Gain +20 P points at the start of the produce,"At the end of a Normal Visual Lesson, gain +5 Visual","At the end of an Outing, gain +7 Visual",Gain +15 Visual,Gain +10 P points,No Event,No Signature
10012,2,0,1,3,0,0,20,0.04,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,A reliable older sister,Gain +4.0% in Visual Lessons,Gain +20 P points at the start of the produce,"At the end of a Normal Visual Lesson, gain +5 Visual","At the end of an Outing, gain +7 Visual",Gain +17 Visual,Gain +10 P points,No Event,No Signature
10012,2,0,1,4,0,0,20,0.043,0,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,A reliable older sister,Gain +4.3% in Visual Lessons,Gain +20 P points at the start of the produce,"At the end of a Normal Visual Lesson, gain +9 Visual","At the end of an Outing, gain +7 Visual",Gain +20 Visual,Gain +10 P points,No Event,No Signature
20001,2,0,2,0,10.5,0,0,0.044,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,Big Love Attack,Gain +4.4% in Visual Lessons,Gain +10.5% chance of a Visual SP Lesson,"At the end of a Visual SP lesson, gain +7 Visual","At the end of an exam or an audition, gain +9 Visual (only once per produce)",Signature - Shes my big sister!,Gain +22 Visual,No Event,"Cost: -3\nUsable when Lesson CLEAR is below 100%\nParameters : +6 (+10)\nGain +6 (+9) Energy\nNext turn, draw a skill card\nOnce per lesson (cannot be duplicated)"
20001,2,0,2,1,21,0,0,0.049,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,Big Love Attack,Gain +4.9% in Visual Lessons,Gain +21% chance of a Visual SP Lesson,"At the end of a Visual SP lesson, gain +7 Visual","At the end of an exam or an audition, gain +9 Visual (only once per produce)",Signature - Shes my big sister!,Gain +22 Visual,No Event,"Cost: -3\nUsable when Lesson CLEAR is below 100%\nParameters : +6 (+10)\nGain +6 (+9) Energy\nNext turn, draw a skill card\nOnce per lesson (cannot be duplicated)"
20001,2,0,2,2,21,0,0,0.054,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,Big Love Attack,Gain +5.4% in Visual Lessons,Gain +21% chance of a Visual SP Lesson,"At the end of a Visual SP lesson, gain +7 Visual","At the end of an exam or an audition, gain +9 Visual (only once per produce)",Signature - Shes my big sister!,Gain +26 Visual,No Event,"Cost: -3\nUsable when Lesson CLEAR is below 100%\nParameters : +6 (+10)\nGain +6 (+9) Energy\nNext turn, draw a skill card\nOnce per lesson (cannot be duplicated)"
20001,2,0,2,3,21,0,0,0.059,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,26,Big Love Attack,Gain +5.9% in Visual Lessons,Gain +21% chance of a Visual SP Lesson,"At the end of a Visual SP lesson, gain +7 Visual","At the end of an exam or an audition, gain +17 Visual (only once per produce)",Signature - Shes my big sister!,Gain +26 Visual,No Event,"Cost: -3\nUsable when Lesson CLEAR is below 100%\nParameters : +6 (+10)\nGain +6 (+9) Energy\nNext turn, draw a skill card\nOnce per lesson (cannot be duplicated)"
